Job name        : med-synthetic-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[    1] EDF [score: 304.5690002441406, median singleton score: 17.566539764404297, visited nodes (%): 100.0, solving time (ms): 15.0, median approximation score: 1.0]
[    1] BNT [score: 459.1281433105469, median singleton score: 21.149681091308594, visited nodes (%): 100.0, solving time (ms): 15.0, median approximation score: 1.0]
[    1] CTS [score: 863.8467407226562, median singleton score: 26.811264038085938, visited nodes (%): 100.0, solving time (ms): 33.0, median approximation score: 1.3076924085617065]
[    1] ANT-e [score: 326.538330078125, median singleton score: 20.02682876586914, visited nodes (%): 100.0, solving time (ms): 13215.0, median approximation score: 0.0]
[    2] EDF [score: 362.5687255859375, median singleton score: 23.974599838256836, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[    2] BNT [score: 363.4284973144531, median singleton score: 24.93889045715332, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.0]
[    2] CTS [score: 846.1795043945312, median singleton score: 40.57662582397461, visited nodes (%): 100.0, solving time (ms): 13.0, median approximation score: 1.307692289352417]
[    2] ANT-e [score: 381.1402587890625, median singleton score: 25.978010177612305, visited nodes (%): 100.0, solving time (ms): 528.0, median approximation score: 0.0]
[    3] EDF [score: 390.2912902832031, median singleton score: 18.75981903076172, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0]
[    3] BNT [score: 453.4342956542969, median singleton score: 19.04806900024414, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.0]
[    3] CTS [score: 484.2969055175781, median singleton score: 18.75981903076172, visited nodes (%): 100.0, solving time (ms): 8.0, median approximation score: 1.250000238418579]
[    3] ANT-e [score: 626.3547973632812, median singleton score: 36.14278793334961, visited nodes (%): 100.0, solving time (ms): 25.0, median approximation score: 0.0]
