Job name        : med-lfb-superadditive
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [SUPERADDITIVE]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[    1] EDF [score: 953.0, median singleton score: 68.0, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.6888889074325562]
[    1] BNT [score: 897.0, median singleton score: 75.0, visited nodes (%): 86.66666412353516, solving time (ms): 3.0, median approximation score: 1.6222221851348877]
[    1] CTS [score: 1751.0, median singleton score: 166.0, visited nodes (%): 73.33333587646484, solving time (ms): 17.0, median approximation score: 3.7555556297302246]
[    1] ANT-e [score: 619.0, median singleton score: 45.0, visited nodes (%): 100.0, solving time (ms): 2011.0, median approximation score: 0.0]
[    2] EDF [score: 789.0, median singleton score: 51.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6538461446762085]
[    2] BNT [score: 849.0, median singleton score: 60.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.7878787517547607]
[    2] CTS [score: 1792.0, median singleton score: 105.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 3.3043477535247803]
[    2] ANT-e [score: 566.0, median singleton score: 38.0, visited nodes (%): 100.0, solving time (ms): 527.0, median approximation score: 0.0]
[    3] EDF [score: 997.0, median singleton score: 69.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6363636255264282]
[    3] BNT [score: 950.0, median singleton score: 68.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.5357142686843872]
[    3] CTS [score: 1290.0, median singleton score: 158.0, visited nodes (%): 60.000003814697266, solving time (ms): 6.0, median approximation score: 2.6785714626312256]
