Job name        : med-lfb-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[    1] EDF [score: 381.0, median singleton score: 23.0, visited nodes (%): 100.0, solving time (ms): 15.0, median approximation score: 1.0499999523162842]
[    1] BNT [score: 435.0, median singleton score: 34.5, visited nodes (%): 93.33333587646484, solving time (ms): 14.0, median approximation score: 1.25]
[    1] CTS [score: 1043.0, median singleton score: 32.0, visited nodes (%): 86.66666412353516, solving time (ms): 31.0, median approximation score: 1.399999976158142]
[    1] ANT-e [score: 344.0, median singleton score: 23.0, visited nodes (%): 100.0, solving time (ms): 6897.0, median approximation score: 0.0]
[    2] EDF [score: 456.0, median singleton score: 29.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.236842155456543]
[    2] BNT [score: 546.0, median singleton score: 36.0, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.1818181276321411]
[    2] CTS [score: 1499.0, median singleton score: 86.0, visited nodes (%): 100.0, solving time (ms): 10.0, median approximation score: 2.6111111640930176]
[    2] ANT-e [score: 381.0, median singleton score: 24.5, visited nodes (%): 93.33333587646484, solving time (ms): 47.0, median approximation score: 0.0]
[    3] EDF [score: 704.0, median singleton score: 43.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.5499999523162842]
[    3] BNT [score: 753.0, median singleton score: 44.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.600000023841858]
[    3] CTS [score: 1512.0, median singleton score: 58.0, visited nodes (%): 100.0, solving time (ms): 10.0, median approximation score: 2.200000047683716]
[    3] ANT-e [score: 695.0, median singleton score: 48.0, visited nodes (%): 100.0, solving time (ms): 686.0, median approximation score: 0.0]
[    4] EDF [score: 461.0, median singleton score: 28.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.100000023841858]
[    4] BNT [score: 622.0, median singleton score: 35.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.6875]
[    4] CTS [score: 1161.0, median singleton score: 81.0, visited nodes (%): 100.0, solving time (ms): 8.0, median approximation score: 2.6666667461395264]
[    4] ANT-e [score: 474.0, median singleton score: 31.0, visited nodes (%): 100.0, solving time (ms): 605.0, median approximation score: 0.0]
[    5] EDF [score: 513.0, median singleton score: 32.0, visited nodes (%): 100.0, solving time (ms): 2.0, median approximation score: 1.3043478727340698]
[    5] BNT [score: 616.0, median singleton score: 38.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.4500000476837158]
[    5] CTS [score: 1123.0, median singleton score: 61.0, visited nodes (%): 100.0, solving time (ms): 8.0, median approximation score: 2.4285714626312256]
[    5] ANT-e [score: 464.0, median singleton score: 28.0, visited nodes (%): 100.0, solving time (ms): 462.0, median approximation score: 0.0]
[    6] EDF [score: 623.0, median singleton score: 44.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.5428571701049805]
[    6] BNT [score: 730.0, median singleton score: 48.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.6470588445663452]
