Job name        : med-lfb-uc_ndcs
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_NDCS]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[    1] EDF [score: 1219.0, median singleton score: 86.0, visited nodes (%): 93.33333587646484, solving time (ms): 16.0, median approximation score: 1.6799999475479126]
[    1] BNT [score: 1078.0, median singleton score: 90.0, visited nodes (%): 86.66666412353516, solving time (ms): 14.0, median approximation score: 1.4235293865203857]
[    1] CTS [score: 1757.0, median singleton score: 129.0, visited nodes (%): 86.66666412353516, solving time (ms): 47.0, median approximation score: 2.5333333015441895]
[    1] ANT-e [score: 1017.0, median singleton score: 66.0, visited nodes (%): 93.33333587646484, solving time (ms): 8006.0, median approximation score: 0.0]
[    2] EDF [score: 1799.0, median singleton score: 139.0, visited nodes (%): 86.66666412353516, solving time (ms): 1.0, median approximation score: 2.525423765182495]
[    2] BNT [score: 2239.0, median singleton score: 199.0, visited nodes (%): 80.0, solving time (ms): 6.0, median approximation score: 3.28125]
[    2] CTS [score: 1887.0, median singleton score: 220.5, visited nodes (%): 66.66667175292969, solving time (ms): 14.0, median approximation score: 3.0]
[    2] ANT-e [score: 1275.0, median singleton score: 95.5, visited nodes (%): 93.33333587646484, solving time (ms): 41.0, median approximation score: 0.0]
[    3] EDF [score: 1450.0, median singleton score: 90.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 2.04347825050354]
[    3] BNT [score: 1230.0, median singleton score: 117.0, visited nodes (%): 86.66666412353516, solving time (ms): 6.0, median approximation score: 1.8870967626571655]
[    3] CTS [score: 1502.0, median singleton score: 392.0, visited nodes (%): 26.666667938232422, solving time (ms): 35.0, median approximation score: 0.0]
[    3] ANT-e [score: 1031.0, median singleton score: 63.0, visited nodes (%): 100.0, solving time (ms): 1498.0, median approximation score: 0.0]
