Job name        : lfb-superadditive
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [SUPERADDITIVE]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[    1] EDF [score: 5787.0, median singleton score: 43.0, visited nodes (%): 94.66666412353516, solving time (ms): 20.0, median approximation score: 1.1326979398727417]
[    1] BNT [score: 6099.0, median singleton score: 49.0, visited nodes (%): 85.33333587646484, solving time (ms): 401.0, median approximation score: 1.2649122476577759]
[    1] CTS [score: 18294.0, median singleton score: 158.0, visited nodes (%): 78.0, solving time (ms): 381.0, median approximation score: 4.04018497467041]
[    1] ANT-e [score: 5268.0, median singleton score: 38.0, visited nodes (%): 94.66666412353516, solving time (ms): 960.0, median approximation score: 0.0]
[    2] EDF [score: 5330.0, median singleton score: 41.0, visited nodes (%): 90.0, solving time (ms): 7.0, median approximation score: 1.1036519408226013]
[    2] BNT [score: 5304.0, median singleton score: 50.0, visited nodes (%): 76.0, solving time (ms): 340.0, median approximation score: 1.1967742443084717]
[    2] CTS [score: 16788.0, median singleton score: 138.0, visited nodes (%): 76.0, solving time (ms): 319.0, median approximation score: 3.6035714149475098]
[    2] ANT-e [score: 5244.0, median singleton score: 36.0, visited nodes (%): 90.0, solving time (ms): 726.0, median approximation score: 0.0]
[    3] EDF [score: 5188.0, median singleton score: 39.0, visited nodes (%): 90.0, solving time (ms): 6.0, median approximation score: 1.119429588317871]
[    3] BNT [score: 5398.0, median singleton score: 47.0, visited nodes (%): 79.33333587646484, solving time (ms): 359.0, median approximation score: 1.1767001152038574]
[    3] CTS [score: 17317.0, median singleton score: 135.0, visited nodes (%): 80.0, solving time (ms): 292.0, median approximation score: 3.7376344203948975]
[    3] ANT-e [score: 4739.0, median singleton score: 34.0, visited nodes (%): 90.66667175292969, solving time (ms): 655.0, median approximation score: 0.0]
[    4] EDF [score: 5393.0, median singleton score: 42.0, visited nodes (%): 90.0, solving time (ms): 6.0, median approximation score: 1.1148351430892944]
[    4] BNT [score: 5676.0, median singleton score: 49.0, visited nodes (%): 81.33333587646484, solving time (ms): 349.0, median approximation score: 1.2078272700309753]
[    4] CTS [score: 16255.0, median singleton score: 139.0, visited nodes (%): 76.0, solving time (ms): 282.0, median approximation score: 3.4928570985794067]
[    4] ANT-e [score: 4880.0, median singleton score: 35.0, visited nodes (%): 90.0, solving time (ms): 678.0, median approximation score: 0.0]
[    5] EDF [score: 5466.0, median singleton score: 42.0, visited nodes (%): 91.33333587646484, solving time (ms): 6.0, median approximation score: 1.1485294103622437]
[    5] BNT [score: 5654.0, median singleton score: 48.0, visited nodes (%): 81.33333587646484, solving time (ms): 358.0, median approximation score: 1.2264957427978516]
[    5] CTS [score: 16812.0, median singleton score: 137.0, visited nodes (%): 80.66666412353516, solving time (ms): 274.0, median approximation score: 3.4822221994400024]
[    5] ANT-e [score: 4768.0, median singleton score: 37.0, visited nodes (%): 91.33333587646484, solving time (ms): 658.0, median approximation score: 0.0]
[    6] EDF [score: 5047.0, median singleton score: 39.0, visited nodes (%): 89.33332824707031, solving time (ms): 6.0, median approximation score: 1.1111111640930176]
[    6] BNT [score: 5507.0, median singleton score: 46.0, visited nodes (%): 80.66666412353516, solving time (ms): 351.0, median approximation score: 1.2116367816925049]
[    6] CTS [score: 16697.0, median singleton score: 139.5, visited nodes (%): 78.66667175292969, solving time (ms): 285.0, median approximation score: 3.592954158782959]
[    6] ANT-e [score: 4830.0, median singleton score: 35.0, visited nodes (%): 90.66667175292969, solving time (ms): 717.0, median approximation score: 0.0]
[    7] EDF [score: 5772.0, median singleton score: 42.0, visited nodes (%): 94.66666412353516, solving time (ms): 6.0, median approximation score: 1.1555556058883667]
[    7] BNT [score: 6058.0, median singleton score: 48.0, visited nodes (%): 85.33333587646484, solving time (ms): 387.0, median approximation score: 1.2380952835083008]
[    7] CTS [score: 19562.0, median singleton score: 148.0, visited nodes (%): 86.0, solving time (ms): 288.0, median approximation score: 4.017241477966309]
[    7] ANT-e [score: 5261.0, median singleton score: 36.0, visited nodes (%): 95.33332824707031, solving time (ms): 732.0, median approximation score: 0.0]
[    8] EDF [score: 5452.0, median singleton score: 39.0, visited nodes (%): 94.0, solving time (ms): 6.0, median approximation score: 1.125]
[    8] BNT [score: 6032.0, median singleton score: 47.0, visited nodes (%): 90.0, solving time (ms): 390.0, median approximation score: 1.2583417892456055]
[    8] CTS [score: 19812.0, median singleton score: 140.5, visited nodes (%): 90.66667175292969, solving time (ms): 261.0, median approximation score: 3.766922116279602]
[    8] ANT-e [score: 4875.0, median singleton score: 34.0, visited nodes (%): 94.0, solving time (ms): 781.0, median approximation score: 0.0]
[    9] EDF [score: 5439.0, median singleton score: 40.0, visited nodes (%): 92.0, solving time (ms): 6.0, median approximation score: 1.1213235259056091]
[    9] BNT [score: 5941.0, median singleton score: 49.0, visited nodes (%): 86.66666412353516, solving time (ms): 368.0, median approximation score: 1.2020408511161804]
[    9] CTS [score: 19604.0, median singleton score: 152.0, visited nodes (%): 88.66666412353516, solving time (ms): 267.0, median approximation score: 3.93743896484375]
[    9] ANT-e [score: 5085.0, median singleton score: 36.0, visited nodes (%): 92.0, solving time (ms): 693.0, median approximation score: 0.0]
[   10] EDF [score: 5197.0, median singleton score: 39.0, visited nodes (%): 90.66667175292969, solving time (ms): 6.0, median approximation score: 1.1132478713989258]
[   10] BNT [score: 5640.0, median singleton score: 43.5, visited nodes (%): 82.66666412353516, solving time (ms): 352.0, median approximation score: 1.225806474685669]
[   10] CTS [score: 17634.0, median singleton score: 135.0, visited nodes (%): 86.66666412353516, solving time (ms): 249.0, median approximation score: 3.754310369491577]
[   10] ANT-e [score: 4577.0, median singleton score: 34.0, visited nodes (%): 90.66667175292969, solving time (ms): 755.0, median approximation score: 0.0]
[   11] EDF [score: 5392.0, median singleton score: 40.0, visited nodes (%): 91.33333587646484, solving time (ms): 6.0, median approximation score: 1.1212244629859924]
[   11] BNT [score: 5896.0, median singleton score: 48.0, visited nodes (%): 82.66666412353516, solving time (ms): 368.0, median approximation score: 1.2501930594444275]
[   11] CTS [score: 19597.0, median singleton score: 153.0, visited nodes (%): 86.0, solving time (ms): 280.0, median approximation score: 3.9677083492279053]
[   11] ANT-e [score: 5220.0, median singleton score: 36.0, visited nodes (%): 93.33333587646484, solving time (ms): 693.0, median approximation score: 0.0]
