Job name        : lfb-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[    1] EDF [score: 3092.0, median singleton score: 22.0, visited nodes (%): 94.66666412353516, solving time (ms): 53.0, median approximation score: 1.0]
[    1] BNT [score: 3747.0, median singleton score: 27.0, visited nodes (%): 94.0, solving time (ms): 1336.0, median approximation score: 1.25]
[    1] CTS [score: 12127.0, median singleton score: 47.0, visited nodes (%): 99.33333587646484, solving time (ms): 281.0, median approximation score: 2.1742424964904785]
[    1] ANT-e [score: 3095.0, median singleton score: 21.0, visited nodes (%): 94.66666412353516, solving time (ms): 30520.0, median approximation score: 0.0]
[    2] EDF [score: 3322.0, median singleton score: 25.0, visited nodes (%): 90.0, solving time (ms): 45.0, median approximation score: 1.04880952835083]
[    2] BNT [score: 3833.0, median singleton score: 29.0, visited nodes (%): 87.33333587646484, solving time (ms): 1114.0, median approximation score: 1.2000000476837158]
[    2] CTS [score: 12332.0, median singleton score: 55.5, visited nodes (%): 94.66666412353516, solving time (ms): 293.0, median approximation score: 2.309999942779541]
[    2] ANT-e [score: 3264.0, median singleton score: 22.0, visited nodes (%): 90.0, solving time (ms): 675.0, median approximation score: 0.0]
[    3] EDF [score: 3203.0, median singleton score: 24.0, visited nodes (%): 91.33333587646484, solving time (ms): 24.0, median approximation score: 1.1961538791656494]
[    3] BNT [score: 3761.0, median singleton score: 28.5, visited nodes (%): 90.66667175292969, solving time (ms): 1140.0, median approximation score: 1.3073463439941406]
[    3] CTS [score: 12748.0, median singleton score: 49.0, visited nodes (%): 95.33332824707031, solving time (ms): 299.0, median approximation score: 2.590062141418457]
[    3] ANT-e [score: 2898.0, median singleton score: 20.0, visited nodes (%): 92.0, solving time (ms): 559.0, median approximation score: 0.0]
[    4] EDF [score: 3007.0, median singleton score: 23.0, visited nodes (%): 90.66667175292969, solving time (ms): 22.0, median approximation score: 1.056249976158142]
[    4] BNT [score: 3813.0, median singleton score: 30.0, visited nodes (%): 90.0, solving time (ms): 1055.0, median approximation score: 1.302173912525177]
[    4] CTS [score: 12164.0, median singleton score: 57.0, visited nodes (%): 98.0, solving time (ms): 246.0, median approximation score: 2.625874161720276]
[    4] ANT-e [score: 2849.0, median singleton score: 22.0, visited nodes (%): 90.66667175292969, solving time (ms): 537.0, median approximation score: 0.0]
[    5] EDF [score: 3079.0, median singleton score: 23.0, visited nodes (%): 91.33333587646484, solving time (ms): 21.0, median approximation score: 1.0]
[    5] BNT [score: 3976.0, median singleton score: 29.0, visited nodes (%): 90.66667175292969, solving time (ms): 1079.0, median approximation score: 1.2642449736595154]
[    5] CTS [score: 13240.0, median singleton score: 52.0, visited nodes (%): 99.33333587646484, solving time (ms): 248.0, median approximation score: 2.2991071939468384]
[    5] ANT-e [score: 3168.0, median singleton score: 21.0, visited nodes (%): 91.33333587646484, solving time (ms): 550.0, median approximation score: 0.0]
[    6] EDF [score: 2715.0, median singleton score: 21.0, visited nodes (%): 89.33332824707031, solving time (ms): 21.0, median approximation score: 1.0]
[    6] BNT [score: 3356.0, median singleton score: 27.0, visited nodes (%): 88.66666412353516, solving time (ms): 996.0, median approximation score: 1.200320541858673]
[    6] CTS [score: 9471.0, median singleton score: 41.5, visited nodes (%): 96.0, solving time (ms): 237.0, median approximation score: 1.8795986771583557]
[    6] ANT-e [score: 2871.0, median singleton score: 21.0, visited nodes (%): 90.66667175292969, solving time (ms): 591.0, median approximation score: 0.0]
[    7] EDF [score: 3308.0, median singleton score: 24.0, visited nodes (%): 94.66666412353516, solving time (ms): 24.0, median approximation score: 1.07019704580307]
[    7] BNT [score: 4255.0, median singleton score: 30.0, visited nodes (%): 94.66666412353516, solving time (ms): 1216.0, median approximation score: 1.3190909624099731]
[    7] CTS [score: 13971.0, median singleton score: 55.0, visited nodes (%): 98.0, solving time (ms): 286.0, median approximation score: 2.5938215255737305]
[    7] ANT-e [score: 3132.0, median singleton score: 22.0, visited nodes (%): 95.33332824707031, solving time (ms): 545.0, median approximation score: 0.0]
[    8] EDF [score: 3129.0, median singleton score: 23.0, visited nodes (%): 94.0, solving time (ms): 23.0, median approximation score: 1.0]
[    8] BNT [score: 3797.0, median singleton score: 27.5, visited nodes (%): 93.33333587646484, solving time (ms): 1158.0, median approximation score: 1.2515789270401]
[    8] CTS [score: 12057.0, median singleton score: 49.0, visited nodes (%): 96.66666412353516, solving time (ms): 325.0, median approximation score: 2.0178571939468384]
[    8] ANT-e [score: 3091.0, median singleton score: 21.0, visited nodes (%): 94.0, solving time (ms): 606.0, median approximation score: 0.0]
[    9] EDF [score: 3449.0, median singleton score: 26.0, visited nodes (%): 92.0, solving time (ms): 22.0, median approximation score: 1.0]
[    9] BNT [score: 3996.0, median singleton score: 30.5, visited nodes (%): 90.66667175292969, solving time (ms): 1094.0, median approximation score: 1.125]
[    9] CTS [score: 12379.0, median singleton score: 51.0, visited nodes (%): 96.66666412353516, solving time (ms): 240.0, median approximation score: 2.1019585132598877]
[    9] ANT-e [score: 3470.0, median singleton score: 24.0, visited nodes (%): 92.0, solving time (ms): 565.0, median approximation score: 0.0]
[   10] EDF [score: 2795.0, median singleton score: 21.0, visited nodes (%): 90.66667175292969, solving time (ms): 20.0, median approximation score: 1.0910972952842712]
[   10] BNT [score: 3620.0, median singleton score: 29.0, visited nodes (%): 90.0, solving time (ms): 962.0, median approximation score: 1.470769226551056]
[   10] CTS [score: 11513.0, median singleton score: 50.0, visited nodes (%): 97.33333587646484, solving time (ms): 269.0, median approximation score: 2.424287796020508]
[   10] ANT-e [score: 2462.0, median singleton score: 19.0, visited nodes (%): 90.66667175292969, solving time (ms): 525.0, median approximation score: 0.0]
[   11] EDF [score: 3087.0, median singleton score: 22.0, visited nodes (%): 92.66666412353516, solving time (ms): 21.0, median approximation score: 1.0]
[   11] BNT [score: 3673.0, median singleton score: 26.0, visited nodes (%): 92.0, solving time (ms): 1073.0, median approximation score: 1.1925926208496094]
[   11] CTS [score: 13992.0, median singleton score: 52.0, visited nodes (%): 94.0, solving time (ms): 304.0, median approximation score: 2.4731935262680054]
[   11] ANT-e [score: 3252.0, median singleton score: 21.0, visited nodes (%): 93.33333587646484, solving time (ms): 560.0, median approximation score: 0.0]
[   12] EDF [score: 3116.0, median singleton score: 23.5, visited nodes (%): 90.66667175292969, solving time (ms): 23.0, median approximation score: 1.0345237851142883]
[   12] BNT [score: 3700.0, median singleton score: 27.5, visited nodes (%): 90.66667175292969, solving time (ms): 1048.0, median approximation score: 1.1925926208496094]
[   12] CTS [score: 12155.0, median singleton score: 59.0, visited nodes (%): 95.33332824707031, solving time (ms): 277.0, median approximation score: 2.5384615659713745]
[   12] ANT-e [score: 3086.0, median singleton score: 22.0, visited nodes (%): 91.33333587646484, solving time (ms): 532.0, median approximation score: 0.0]
[   13] EDF [score: 3106.0, median singleton score: 23.0, visited nodes (%): 92.0, solving time (ms): 22.0, median approximation score: 1.0]
[   13] BNT [score: 3700.0, median singleton score: 27.5, visited nodes (%): 90.66667175292969, solving time (ms): 1032.0, median approximation score: 1.1766233444213867]
[   13] CTS [score: 12848.0, median singleton score: 53.0, visited nodes (%): 97.33333587646484, solving time (ms): 251.0, median approximation score: 2.5826719999313354]
[   13] ANT-e [score: 3214.0, median singleton score: 23.5, visited nodes (%): 92.0, solving time (ms): 536.0, median approximation score: 0.0]
[   14] EDF [score: 3209.0, median singleton score: 23.0, visited nodes (%): 93.33333587646484, solving time (ms): 24.0, median approximation score: 1.0]
[   14] BNT [score: 3910.0, median singleton score: 29.0, visited nodes (%): 92.0, solving time (ms): 1125.0, median approximation score: 1.1925926208496094]
[   14] CTS [score: 13081.0, median singleton score: 55.0, visited nodes (%): 100.0, solving time (ms): 338.0, median approximation score: 2.50756299495697]
[   14] ANT-e [score: 3414.0, median singleton score: 23.0, visited nodes (%): 93.33333587646484, solving time (ms): 32935.0, median approximation score: 0.0]
[   15] EDF [score: 3195.0, median singleton score: 23.5, visited nodes (%): 93.33333587646484, solving time (ms): 26.0, median approximation score: 1.0377492904663086]
[   15] BNT [score: 3780.0, median singleton score: 28.0, visited nodes (%): 92.66666412353516, solving time (ms): 1173.0, median approximation score: 1.1967742443084717]
[   15] CTS [score: 12471.0, median singleton score: 48.5, visited nodes (%): 98.66667175292969, solving time (ms): 282.0, median approximation score: 2.259615421295166]
[   15] ANT-e [score: 3119.0, median singleton score: 22.0, visited nodes (%): 93.33333587646484, solving time (ms): 634.0, median approximation score: 0.0]
[   16] EDF [score: 3051.0, median singleton score: 22.0, visited nodes (%): 93.33333587646484, solving time (ms): 23.0, median approximation score: 0.964901477098465]
[   16] BNT [score: 3914.0, median singleton score: 28.0, visited nodes (%): 92.66666412353516, solving time (ms): 1206.0, median approximation score: 1.1526806354522705]
[   16] CTS [score: 11512.0, median singleton score: 44.0, visited nodes (%): 98.0, solving time (ms): 264.0, median approximation score: 1.9772727489471436]
[   16] ANT-e [score: 3254.0, median singleton score: 23.0, visited nodes (%): 94.66666412353516, solving time (ms): 612.0, median approximation score: 0.0]
[   17] EDF [score: 2971.0, median singleton score: 22.0, visited nodes (%): 90.0, solving time (ms): 23.0, median approximation score: 1.0]
[   17] BNT [score: 3484.0, median singleton score: 27.0, visited nodes (%): 90.0, solving time (ms): 1124.0, median approximation score: 1.2204861044883728]
[   17] CTS [score: 12573.0, median singleton score: 54.0, visited nodes (%): 94.0, solving time (ms): 260.0, median approximation score: 2.3257575035095215]
[   17] ANT-e [score: 3027.0, median singleton score: 20.0, visited nodes (%): 90.66667175292969, solving time (ms): 603.0, median approximation score: 0.0]
[   18] EDF [score: 3154.0, median singleton score: 22.5, visited nodes (%): 94.66666412353516, solving time (ms): 25.0, median approximation score: 0.949999988079071]
[   18] BNT [score: 3813.0, median singleton score: 28.0, visited nodes (%): 93.33333587646484, solving time (ms): 1255.0, median approximation score: 1.1407407522201538]
[   18] CTS [score: 12469.0, median singleton score: 54.0, visited nodes (%): 94.66666412353516, solving time (ms): 281.0, median approximation score: 2.225000023841858]
[   18] ANT-e [score: 3419.0, median singleton score: 23.0, visited nodes (%): 94.66666412353516, solving time (ms): 596.0, median approximation score: 0.0]
[   19] EDF [score: 3355.0, median singleton score: 25.0, visited nodes (%): 92.0, solving time (ms): 24.0, median approximation score: 1.0]
[   19] BNT [score: 4048.0, median singleton score: 29.5, visited nodes (%): 92.0, solving time (ms): 1164.0, median approximation score: 1.2087114453315735]
[   19] CTS [score: 14475.0, median singleton score: 66.0, visited nodes (%): 98.0, solving time (ms): 365.0, median approximation score: 2.626086950302124]
[   19] ANT-e [score: 3424.0, median singleton score: 24.0, visited nodes (%): 93.33333587646484, solving time (ms): 567.0, median approximation score: 0.0]
[   20] EDF [score: 2836.0, median singleton score: 21.0, visited nodes (%): 91.33333587646484, solving time (ms): 21.0, median approximation score: 1.0423280596733093]
[   20] BNT [score: 3426.0, median singleton score: 26.0, visited nodes (%): 90.66667175292969, solving time (ms): 1070.0, median approximation score: 1.307692289352417]
[   20] CTS [score: 12447.0, median singleton score: 41.5, visited nodes (%): 98.66667175292969, solving time (ms): 281.0, median approximation score: 2.041666626930237]
[   20] ANT-e [score: 2670.0, median singleton score: 19.0, visited nodes (%): 91.33333587646484, solving time (ms): 568.0, median approximation score: 0.0]
[   21] EDF [score: 3075.0, median singleton score: 21.0, visited nodes (%): 94.66666412353516, solving time (ms): 24.0, median approximation score: 0.9607692062854767]
[   21] BNT [score: 3740.0, median singleton score: 27.0, visited nodes (%): 92.66666412353516, solving time (ms): 1143.0, median approximation score: 1.2168037295341492]
[   21] CTS [score: 11804.0, median singleton score: 52.0, visited nodes (%): 96.0, solving time (ms): 277.0, median approximation score: 2.215384602546692]
[   21] ANT-e [score: 3162.0, median singleton score: 21.0, visited nodes (%): 94.66666412353516, solving time (ms): 538.0, median approximation score: 0.0]
[   22] EDF [score: 2918.0, median singleton score: 21.0, visited nodes (%): 94.0, solving time (ms): 22.0, median approximation score: 1.1026315689086914]
[   22] BNT [score: 3634.0, median singleton score: 27.0, visited nodes (%): 94.0, solving time (ms): 1076.0, median approximation score: 1.3397436141967773]
[   22] CTS [score: 10996.0, median singleton score: 40.0, visited nodes (%): 99.33333587646484, solving time (ms): 229.0, median approximation score: 2.25543475151062]
[   22] ANT-e [score: 2766.0, median singleton score: 19.0, visited nodes (%): 94.0, solving time (ms): 539.0, median approximation score: 0.0]
[   23] EDF [score: 2658.0, median singleton score: 20.0, visited nodes (%): 90.0, solving time (ms): 21.0, median approximation score: 1.0]
[   23] BNT [score: 3169.0, median singleton score: 24.0, visited nodes (%): 88.66666412353516, solving time (ms): 972.0, median approximation score: 1.1428571939468384]
[   23] CTS [score: 11231.0, median singleton score: 41.5, visited nodes (%): 98.66667175292969, solving time (ms): 275.0, median approximation score: 2.126984119415283]
[   23] ANT-e [score: 2716.0, median singleton score: 19.0, visited nodes (%): 91.33333587646484, solving time (ms): 547.0, median approximation score: 0.0]
[   24] EDF [score: 3366.0, median singleton score: 24.0, visited nodes (%): 95.33332824707031, solving time (ms): 25.0, median approximation score: 1.0566188097000122]
[   24] BNT [score: 3885.0, median singleton score: 28.0, visited nodes (%): 94.66666412353516, solving time (ms): 1206.0, median approximation score: 1.2788888812065125]
[   24] CTS [score: 12963.0, median singleton score: 51.0, visited nodes (%): 96.66666412353516, solving time (ms): 258.0, median approximation score: 2.478095293045044]
[   24] ANT-e [score: 3387.0, median singleton score: 23.0, visited nodes (%): 95.33332824707031, solving time (ms): 30522.0, median approximation score: 0.0]
[   25] EDF [score: 3042.0, median singleton score: 22.0, visited nodes (%): 94.66666412353516, solving time (ms): 28.0, median approximation score: 1.0]
[   25] BNT [score: 3622.0, median singleton score: 27.0, visited nodes (%): 93.33333587646484, solving time (ms): 1168.0, median approximation score: 1.2158384919166565]
[   25] CTS [score: 12697.0, median singleton score: 51.0, visited nodes (%): 98.0, solving time (ms): 372.0, median approximation score: 2.0]
[   25] ANT-e [score: 3041.0, median singleton score: 21.0, visited nodes (%): 95.33332824707031, solving time (ms): 601.0, median approximation score: 0.0]
[   26] EDF [score: 3055.0, median singleton score: 22.0, visited nodes (%): 93.33333587646484, solving time (ms): 24.0, median approximation score: 1.0690476298332214]
[   26] BNT [score: 3799.0, median singleton score: 28.0, visited nodes (%): 93.33333587646484, solving time (ms): 1216.0, median approximation score: 1.288690447807312]
[   26] CTS [score: 11636.0, median singleton score: 46.0, visited nodes (%): 96.66666412353516, solving time (ms): 268.0, median approximation score: 2.180107593536377]
[   26] ANT-e [score: 2941.0, median singleton score: 20.0, visited nodes (%): 94.0, solving time (ms): 619.0, median approximation score: 0.0]
[   27] EDF [score: 3293.0, median singleton score: 22.0, visited nodes (%): 97.33333587646484, solving time (ms): 25.0, median approximation score: 1.0851449370384216]
[   27] BNT [score: 3912.0, median singleton score: 27.0, visited nodes (%): 95.33332824707031, solving time (ms): 1246.0, median approximation score: 1.296296238899231]
[   27] CTS [score: 13144.0, median singleton score: 45.0, visited nodes (%): 98.0, solving time (ms): 321.0, median approximation score: 2.3413461446762085]
[   27] ANT-e [score: 2953.0, median singleton score: 20.0, visited nodes (%): 98.0, solving time (ms): 671.0, median approximation score: 0.0]
[   28] EDF [score: 3296.0, median singleton score: 24.0, visited nodes (%): 94.66666412353516, solving time (ms): 25.0, median approximation score: 0.8982758522033691]
[   28] BNT [score: 3861.0, median singleton score: 29.0, visited nodes (%): 93.33333587646484, solving time (ms): 1257.0, median approximation score: 1.0715197920799255]
[   28] CTS [score: 13442.0, median singleton score: 50.0, visited nodes (%): 98.66667175292969, solving time (ms): 305.0, median approximation score: 1.954963207244873]
[   28] ANT-e [score: 3521.0, median singleton score: 25.0, visited nodes (%): 94.66666412353516, solving time (ms): 605.0, median approximation score: 0.0]
[   29] EDF [score: 3082.0, median singleton score: 22.0, visited nodes (%): 94.0, solving time (ms): 23.0, median approximation score: 1.1176470518112183]
[   29] BNT [score: 3675.0, median singleton score: 29.0, visited nodes (%): 91.33333587646484, solving time (ms): 1137.0, median approximation score: 1.3693181872367859]
[   29] CTS [score: 11562.0, median singleton score: 47.0, visited nodes (%): 98.66667175292969, solving time (ms): 268.0, median approximation score: 2.418750047683716]
[   29] ANT-e [score: 2685.0, median singleton score: 18.0, visited nodes (%): 94.0, solving time (ms): 27974.0, median approximation score: 0.0]
[   30] EDF [score: 2688.0, median singleton score: 20.0, visited nodes (%): 89.33332824707031, solving time (ms): 26.0, median approximation score: 1.0]
[   30] BNT [score: 3374.0, median singleton score: 26.5, visited nodes (%): 88.0, solving time (ms): 997.0, median approximation score: 1.23128342628479]
[   30] CTS [score: 10708.0, median singleton score: 40.5, visited nodes (%): 93.33333587646484, solving time (ms): 254.0, median approximation score: 2.020833373069763]
[   30] ANT-e [score: 2970.0, median singleton score: 20.5, visited nodes (%): 89.33332824707031, solving time (ms): 558.0, median approximation score: 0.0]
[   31] EDF [score: 2949.0, median singleton score: 22.5, visited nodes (%): 92.0, solving time (ms): 23.0, median approximation score: 0.9478609561920166]
[   31] BNT [score: 3417.0, median singleton score: 25.0, visited nodes (%): 92.0, solving time (ms): 1125.0, median approximation score: 1.1318840384483337]
[   31] CTS [score: 13253.0, median singleton score: 57.0, visited nodes (%): 99.33333587646484, solving time (ms): 306.0, median approximation score: 2.4919354915618896]
[   31] ANT-e [score: 3140.0, median singleton score: 22.0, visited nodes (%): 92.0, solving time (ms): 596.0, median approximation score: 0.0]
[   32] EDF [score: 3159.0, median singleton score: 23.0, visited nodes (%): 92.66666412353516, solving time (ms): 25.0, median approximation score: 1.076923131942749]
[   32] BNT [score: 3923.0, median singleton score: 29.0, visited nodes (%): 92.66666412353516, solving time (ms): 1213.0, median approximation score: 1.3333333730697632]
[   32] CTS [score: 12346.0, median singleton score: 53.0, visited nodes (%): 97.33333587646484, solving time (ms): 265.0, median approximation score: 2.362318754196167]
[   32] ANT-e [score: 3100.0, median singleton score: 22.0, visited nodes (%): 93.33333587646484, solving time (ms): 606.0, median approximation score: 0.0]
[   33] EDF [score: 3254.0, median singleton score: 23.0, visited nodes (%): 94.66666412353516, solving time (ms): 24.0, median approximation score: 1.0]
[   33] BNT [score: 3964.0, median singleton score: 28.0, visited nodes (%): 94.0, solving time (ms): 1208.0, median approximation score: 1.2014170289039612]
[   33] CTS [score: 12704.0, median singleton score: 62.0, visited nodes (%): 97.33333587646484, solving time (ms): 279.0, median approximation score: 2.3205127716064453]
[   33] ANT-e [score: 3294.0, median singleton score: 24.0, visited nodes (%): 94.66666412353516, solving time (ms): 566.0, median approximation score: 0.0]
[   34] EDF [score: 3229.0, median singleton score: 23.0, visited nodes (%): 93.33333587646484, solving time (ms): 25.0, median approximation score: 1.0]
[   34] BNT [score: 3834.0, median singleton score: 28.0, visited nodes (%): 92.66666412353516, solving time (ms): 1206.0, median approximation score: 1.1558704376220703]
[   34] CTS [score: 13009.0, median singleton score: 57.0, visited nodes (%): 94.66666412353516, solving time (ms): 309.0, median approximation score: 2.138095259666443]
[   34] ANT-e [score: 3338.0, median singleton score: 23.0, visited nodes (%): 93.33333587646484, solving time (ms): 541.0, median approximation score: 0.0]
[   35] EDF [score: 3253.0, median singleton score: 23.5, visited nodes (%): 96.0, solving time (ms): 25.0, median approximation score: 1.0]
[   35] BNT [score: 3850.0, median singleton score: 28.0, visited nodes (%): 94.0, solving time (ms): 1090.0, median approximation score: 1.178947389125824]
[   35] CTS [score: 14511.0, median singleton score: 58.5, visited nodes (%): 98.66667175292969, solving time (ms): 280.0, median approximation score: 2.57852566242218]
[   35] ANT-e [score: 3288.0, median singleton score: 22.0, visited nodes (%): 96.0, solving time (ms): 541.0, median approximation score: 0.0]
[   36] EDF [score: 3152.0, median singleton score: 22.0, visited nodes (%): 92.66666412353516, solving time (ms): 22.0, median approximation score: 1.0666667222976685]
[   36] BNT [score: 3772.0, median singleton score: 28.0, visited nodes (%): 92.0, solving time (ms): 1069.0, median approximation score: 1.2583333253860474]
[   36] CTS [score: 13427.0, median singleton score: 69.0, visited nodes (%): 98.0, solving time (ms): 300.0, median approximation score: 2.9464285373687744]
[   36] ANT-e [score: 3095.0, median singleton score: 21.0, visited nodes (%): 92.66666412353516, solving time (ms): 581.0, median approximation score: 0.0]
[   37] EDF [score: 3407.0, median singleton score: 23.0, visited nodes (%): 95.33332824707031, solving time (ms): 25.0, median approximation score: 1.0]
