Job name        : synthetic-superadditive
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [SUPERADDITIVE]
[Benchmark] session started

[    1] EDF [score: 3619.208740234375, median singleton score: 23.4786376953125, visited nodes (%): 100.0, solving time (ms): 23.0, median approximation score: 0.6875000298023224]
[    1] BNT [score: 5394.392578125, median singleton score: 29.785202026367188, visited nodes (%): 100.0, solving time (ms): 242.0, median approximation score: 1.0]
[    1] CTS [score: 6377.625, median singleton score: 41.23456573486328, visited nodes (%): 98.66667175292969, solving time (ms): 213.0, median approximation score: 1.0]
[    1] ANT-e [score: 5320.9892578125, median singleton score: 30.595247268676758, visited nodes (%): 98.0, solving time (ms): 10059.0, median approximation score: 0.0]
[    2] EDF [score: 3590.184814453125, median singleton score: 23.827985763549805, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 0.6464286148548126]
[    2] BNT [score: 5879.05615234375, median singleton score: 33.17422866821289, visited nodes (%): 100.0, solving time (ms): 194.0, median approximation score: 1.0]
[    2] CTS [score: 6810.35302734375, median singleton score: 45.371009826660156, visited nodes (%): 98.0, solving time (ms): 121.0, median approximation score: 1.0]
[    2] ANT-e [score: 5881.8857421875, median singleton score: 33.12521743774414, visited nodes (%): 99.33333587646484, solving time (ms): 8280.0, median approximation score: 0.0]
[    3] EDF [score: 3279.0771484375, median singleton score: 21.066814422607422, visited nodes (%): 98.0, solving time (ms): 3.0, median approximation score: 0.6315789222717285]
[    3] BNT [score: 5368.96435546875, median singleton score: 28.737567901611328, visited nodes (%): 98.66667175292969, solving time (ms): 193.0, median approximation score: 1.0]
[    3] CTS [score: 6156.4423828125, median singleton score: 39.880577087402344, visited nodes (%): 95.33332824707031, solving time (ms): 113.0, median approximation score: 1.0]
[    3] ANT-e [score: 5495.705078125, median singleton score: 31.792362213134766, visited nodes (%): 98.0, solving time (ms): 8237.0, median approximation score: 0.0]
[    4] EDF [score: 3571.435546875, median singleton score: 23.441707611083984, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.6666665971279144]
[    4] BNT [score: 5653.0107421875, median singleton score: 33.43626403808594, visited nodes (%): 100.0, solving time (ms): 196.0, median approximation score: 1.0]
[    4] CTS [score: 6535.59814453125, median singleton score: 43.141021728515625, visited nodes (%): 98.66667175292969, solving time (ms): 116.0, median approximation score: 1.0]
[    4] ANT-e [score: 5631.90283203125, median singleton score: 34.34775161743164, visited nodes (%): 98.66667175292969, solving time (ms): 8144.0, median approximation score: 0.0]
[    5] EDF [score: 3457.21826171875, median singleton score: 21.692508697509766, visited nodes (%): 99.33333587646484, solving time (ms): 4.0, median approximation score: 0.655048131942749]
[    5] BNT [score: 5674.32421875, median singleton score: 30.795372009277344, visited nodes (%): 99.33333587646484, solving time (ms): 203.0, median approximation score: 1.0]
[    5] CTS [score: 6624.49072265625, median singleton score: 43.58494567871094, visited nodes (%): 99.33333587646484, solving time (ms): 121.0, median approximation score: 1.0]
[    5] ANT-e [score: 5634.541015625, median singleton score: 31.100135803222656, visited nodes (%): 99.33333587646484, solving time (ms): 8579.0, median approximation score: 0.0]
[    6] EDF [score: 3544.71923828125, median singleton score: 22.536453247070312, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.6111111342906952]
[    6] BNT [score: 5451.29541015625, median singleton score: 31.567054748535156, visited nodes (%): 99.33333587646484, solving time (ms): 193.0, median approximation score: 1.0]
[    6] CTS [score: 6359.2900390625, median singleton score: 43.82441711425781, visited nodes (%): 96.66666412353516, solving time (ms): 126.0, median approximation score: 1.0]
[    6] ANT-e [score: 5587.25146484375, median singleton score: 32.51658248901367, visited nodes (%): 97.33333587646484, solving time (ms): 612.0, median approximation score: 0.0]
[    7] EDF [score: 3747.642578125, median singleton score: 24.132558822631836, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.6547618508338928]
[    7] BNT [score: 6070.0205078125, median singleton score: 35.29353332519531, visited nodes (%): 98.66667175292969, solving time (ms): 213.0, median approximation score: 1.0]
[    7] CTS [score: 7160.384765625, median singleton score: 44.9017448425293, visited nodes (%): 98.66667175292969, solving time (ms): 112.0, median approximation score: 1.0]
[    7] ANT-e [score: 6086.2138671875, median singleton score: 35.5418815612793, visited nodes (%): 98.66667175292969, solving time (ms): 8670.0, median approximation score: 0.0]
[    8] EDF [score: 3486.588134765625, median singleton score: 21.748226165771484, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.6180556416511536]
[    8] BNT [score: 5637.27197265625, median singleton score: 35.746849060058594, visited nodes (%): 99.33333587646484, solving time (ms): 184.0, median approximation score: 1.0]
[    8] CTS [score: 6615.92236328125, median singleton score: 43.25861740112305, visited nodes (%): 99.33333587646484, solving time (ms): 114.0, median approximation score: 1.0]
[    8] ANT-e [score: 5677.798828125, median singleton score: 35.746849060058594, visited nodes (%): 99.33333587646484, solving time (ms): 7958.0, median approximation score: 0.0]
[    9] EDF [score: 3682.407958984375, median singleton score: 23.60740852355957, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 0.6937500536441803]
[    9] BNT [score: 5576.23876953125, median singleton score: 30.689058303833008, visited nodes (%): 100.0, solving time (ms): 218.0, median approximation score: 1.0]
[    9] CTS [score: 6917.29833984375, median singleton score: 44.044185638427734, visited nodes (%): 99.33333587646484, solving time (ms): 118.0, median approximation score: 1.0]
