Job name        : synthetic-linearperturbed
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [LINEAR_PERTURBED]
[Benchmark] session started

[    1] EDF [score: 2873.29443359375, median singleton score: 17.72144317626953, visited nodes (%): 100.0, solving time (ms): 23.0, median approximation score: 0.8944444358348846]
[    1] BNT [score: 3513.67919921875, median singleton score: 20.7548828125, visited nodes (%): 100.0, solving time (ms): 237.0, median approximation score: 1.0]
[    1] CTS [score: 3756.85107421875, median singleton score: 23.897193908691406, visited nodes (%): 100.0, solving time (ms): 181.0, median approximation score: 1.0]
[    1] ANT-e [score: 3539.59619140625, median singleton score: 22.225954055786133, visited nodes (%): 99.33333587646484, solving time (ms): 4101.0, median approximation score: 0.0]
[    2] EDF [score: 2575.859130859375, median singleton score: 16.589336395263672, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 0.9230768084526062]
[    2] BNT [score: 3033.59619140625, median singleton score: 18.753082275390625, visited nodes (%): 100.0, solving time (ms): 210.0, median approximation score: 1.0]
[    2] CTS [score: 3239.80712890625, median singleton score: 20.33962631225586, visited nodes (%): 100.0, solving time (ms): 115.0, median approximation score: 1.0]
[    2] ANT-e [score: 3009.870849609375, median singleton score: 18.26614761352539, visited nodes (%): 100.0, solving time (ms): 8179.0, median approximation score: 0.0]
[    3] EDF [score: 3003.166259765625, median singleton score: 19.32120132446289, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.8768939971923828]
[    3] BNT [score: 3865.013671875, median singleton score: 24.21282196044922, visited nodes (%): 99.33333587646484, solving time (ms): 190.0, median approximation score: 1.0]
[    3] CTS [score: 4476.0322265625, median singleton score: 27.88713836669922, visited nodes (%): 100.0, solving time (ms): 122.0, median approximation score: 1.0]
[    3] ANT-e [score: 3827.697998046875, median singleton score: 23.04386329650879, visited nodes (%): 99.33333587646484, solving time (ms): 683.0, median approximation score: 0.0]
[    4] EDF [score: 2999.58447265625, median singleton score: 19.31502914428711, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.5895722210407257]
[    4] BNT [score: 5118.4375, median singleton score: 28.80712890625, visited nodes (%): 100.0, solving time (ms): 201.0, median approximation score: 1.0]
[    4] CTS [score: 6365.21533203125, median singleton score: 42.46142578125, visited nodes (%): 98.66667175292969, solving time (ms): 123.0, median approximation score: 1.0]
[    4] ANT-e [score: 5095.2509765625, median singleton score: 28.39572525024414, visited nodes (%): 98.0, solving time (ms): 7952.0, median approximation score: 0.0]
[    5] EDF [score: 2833.004638671875, median singleton score: 17.729328155517578, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 0.6890110075473785]
[    5] BNT [score: 4720.9453125, median singleton score: 25.901296615600586, visited nodes (%): 100.0, solving time (ms): 200.0, median approximation score: 1.0]
[    5] CTS [score: 5809.01611328125, median singleton score: 38.187896728515625, visited nodes (%): 99.33333587646484, solving time (ms): 111.0, median approximation score: 1.0]
[    5] ANT-e [score: 4726.98828125, median singleton score: 26.057968139648438, visited nodes (%): 99.33333587646484, solving time (ms): 8065.0, median approximation score: 0.0]
[    6] EDF [score: 3083.49560546875, median singleton score: 19.745450973510742, visited nodes (%): 99.33333587646484, solving time (ms): 3.0, median approximation score: 0.75]
[    6] BNT [score: 4281.69140625, median singleton score: 25.66044044494629, visited nodes (%): 99.33333587646484, solving time (ms): 177.0, median approximation score: 1.0]
