Job name        : synthetic-uc_ndcs
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_NDCS]
[Benchmark] session started

[    1] EDF [score: 4866.22216796875, median singleton score: 30.816852569580078, visited nodes (%): 98.66667175292969, solving time (ms): 76.0, median approximation score: 0.5662278831005096]
[    1] BNT [score: 12031.4765625, median singleton score: 58.531307220458984, visited nodes (%): 98.66667175292969, solving time (ms): 875.0, median approximation score: 1.2180706858634949]
[    1] CTS [score: 17793.01171875, median singleton score: 107.81903839111328, visited nodes (%): 97.33333587646484, solving time (ms): 214.0, median approximation score: 2.2101014852523804]
[    1] ANT-e [score: 9048.44921875, median singleton score: 45.784942626953125, visited nodes (%): 97.33333587646484, solving time (ms): 14329.0, median approximation score: 0.0]
[    2] EDF [score: 4809.9345703125, median singleton score: 30.920028686523438, visited nodes (%): 99.33333587646484, solving time (ms): 33.0, median approximation score: 0.5957747399806976]
[    2] BNT [score: 8840.537109375, median singleton score: 49.18065643310547, visited nodes (%): 98.0, solving time (ms): 697.0, median approximation score: 1.088932752609253]
[    2] CTS [score: 10387.501953125, median singleton score: 68.0797119140625, visited nodes (%): 94.0, solving time (ms): 149.0, median approximation score: 1.1786280870437622]
[    2] ANT-e [score: 7688.3056640625, median singleton score: 43.97151184082031, visited nodes (%): 94.66666412353516, solving time (ms): 14286.0, median approximation score: 0.0]
[    3] EDF [score: 4327.2021484375, median singleton score: 27.87490463256836, visited nodes (%): 99.33333587646484, solving time (ms): 27.0, median approximation score: 0.942810446023941]
[    3] BNT [score: 5425.712890625, median singleton score: 33.43605041503906, visited nodes (%): 99.33333587646484, solving time (ms): 581.0, median approximation score: 1.114379107952118]
[    3] CTS [score: 5998.6162109375, median singleton score: 39.35984802246094, visited nodes (%): 98.66667175292969, solving time (ms): 147.0, median approximation score: 1.1818181276321411]
[    3] ANT-e [score: 4831.11572265625, median singleton score: 31.07363510131836, visited nodes (%): 98.0, solving time (ms): 13979.0, median approximation score: 0.0]
[    4] EDF [score: 5291.0224609375, median singleton score: 32.810970306396484, visited nodes (%): 100.0, solving time (ms): 34.0, median approximation score: 0.9486841559410095]
[    4] BNT [score: 8812.40625, median singleton score: 52.15924072265625, visited nodes (%): 99.33333587646484, solving time (ms): 739.0, median approximation score: 1.328431248664856]
[    4] CTS [score: 9940.533203125, median singleton score: 52.407127380371094, visited nodes (%): 100.0, solving time (ms): 132.0, median approximation score: 1.3592103719711304]
[    4] ANT-e [score: 6350.6572265625, median singleton score: 38.41879653930664, visited nodes (%): 100.0, solving time (ms): 14187.0, median approximation score: 0.0]
[    5] EDF [score: 5292.40380859375, median singleton score: 35.06324768066406, visited nodes (%): 97.33333587646484, solving time (ms): 39.0, median approximation score: 0.09021639078855515]
[    5] BNT [score: 33634.23828125, median singleton score: 160.53773498535156, visited nodes (%): 94.0, solving time (ms): 959.0, median approximation score: 0.8905182778835297]
[    5] CTS [score: 24448.91796875, median singleton score: 412.3194274902344, visited nodes (%): 38.0, solving time (ms): 454.0, median approximation score: 0.0]
[    5] ANT-e [score: 15406.91015625, median singleton score: 45.85276412963867, visited nodes (%): 61.333335876464844, solving time (ms): 14592.0, median approximation score: 0.0]
[    6] EDF [score: 4894.19873046875, median singleton score: 32.47218322753906, visited nodes (%): 99.33333587646484, solving time (ms): 36.0, median approximation score: 1.0]
[    6] BNT [score: 6413.19482421875, median singleton score: 40.18266296386719, visited nodes (%): 99.33333587646484, solving time (ms): 622.0, median approximation score: 1.1538460850715637]
[    6] CTS [score: 6916.67431640625, median singleton score: 44.019920349121094, visited nodes (%): 99.33333587646484, solving time (ms): 120.0, median approximation score: 1.263157844543457]
[    6] ANT-e [score: 5550.875, median singleton score: 33.419864654541016, visited nodes (%): 99.33333587646484, solving time (ms): 14218.0, median approximation score: 0.0]
[    7] EDF [score: 4639.87109375, median singleton score: 29.005001068115234, visited nodes (%): 99.33333587646484, solving time (ms): 32.0, median approximation score: 0.9198718070983887]
[    7] BNT [score: 6219.9794921875, median singleton score: 38.05836486816406, visited nodes (%): 98.66667175292969, solving time (ms): 713.0, median approximation score: 1.1091269850730896]
[    7] CTS [score: 6708.37255859375, median singleton score: 41.27592086791992, visited nodes (%): 100.0, solving time (ms): 129.0, median approximation score: 1.1999999284744263]
[    7] ANT-e [score: 5554.8671875, median singleton score: 31.73158836364746, visited nodes (%): 98.66667175292969, solving time (ms): 14678.0, median approximation score: 0.0]
[    8] EDF [score: 4608.59619140625, median singleton score: 29.6759033203125, visited nodes (%): 100.0, solving time (ms): 30.0, median approximation score: 0.5652173459529877]
[    8] BNT [score: 8436.103515625, median singleton score: 45.20256423950195, visited nodes (%): 99.33333587646484, solving time (ms): 609.0, median approximation score: 1.0555555820465088]
[    8] CTS [score: 9934.1591796875, median singleton score: 66.99433135986328, visited nodes (%): 98.66667175292969, solving time (ms): 148.0, median approximation score: 1.1290323138237]
[    8] ANT-e [score: 7898.525390625, median singleton score: 46.68559646606445, visited nodes (%): 98.66667175292969, solving time (ms): 13409.0, median approximation score: 0.0]
[    9] EDF [score: 5004.19384765625, median singleton score: 31.80510711669922, visited nodes (%): 100.0, solving time (ms): 33.0, median approximation score: 0.0]
[    9] BNT [score: 30324.4453125, median singleton score: 152.33079528808594, visited nodes (%): 97.33333587646484, solving time (ms): 1055.0, median approximation score: 0.0]
[    9] CTS [score: 0.0, median singleton score: 0.0, visited nodes (%): 0.0, solving time (ms): 2.0, median approximation score: 0.0]
[    9] ANT-e [score: 4370.90283203125, median singleton score: 32.37095642089844, visited nodes (%): 62.66666793823242, solving time (ms): 13017.0, median approximation score: 0.0]
[   10] EDF [score: 4833.60009765625, median singleton score: 30.377029418945312, visited nodes (%): 100.0, solving time (ms): 30.0, median approximation score: 0.705882340669632]
[   10] BNT [score: 7514.43408203125, median singleton score: 41.98969268798828, visited nodes (%): 100.0, solving time (ms): 569.0, median approximation score: 1.058823585510254]
[   10] CTS [score: 8473.4189453125, median singleton score: 57.716976165771484, visited nodes (%): 99.33333587646484, solving time (ms): 137.0, median approximation score: 1.1225000023841858]
